Model,Dataset,Samples,SuccessExec,Pass@1_TRUE,Runnable_FALSE,SuccessExecRate,Pass@1_Rate,Runnable_FALSE_Rate
Qwen/Qwen2.5-Coder-32B-Instruct,./datasets/humanEval/HumanEval.jsonl,164,162,140,22,0.988,0.854,0.134
Qwen/Qwen2.5-Coder-32B-Instruct,./datasets/mbpp/mbpp.jsonl,974,775,503,272,0.796,0.516,0.279
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/HumanEval_US_with_tests.jsonl,164,161,120,41,0.982,0.732,0.25
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/humanEval_SF_with_tests.jsonl,164,163,142,21,0.994,0.866,0.128
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/humanEval_lv_with_tests.jsonl,164,159,138,21,0.97,0.841,0.128
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/mbpp_LV_with_tests.jsonl,974,753,473,280,0.773,0.486,0.287
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/mbpp_SF_with_tests.jsonl,974,778,501,277,0.799,0.514,0.284
Qwen/Qwen2.5-Coder-32B-Instruct,./mutations/mbpp_US_with_tests.jsonl,974,720,397,323,0.739,0.408,0.332
codellama/CodeLlama-34b-Instruct-hf,./datasets/humanEval/HumanEval.jsonl,164,147,84,63,0.896,0.512,0.384
codellama/CodeLlama-34b-Instruct-hf,./datasets/mbpp/mbpp.jsonl,974,710,369,341,0.729,0.379,0.35
codellama/CodeLlama-34b-Instruct-hf,./mutations/HumanEval_US_with_tests.jsonl,164,146,69,77,0.89,0.421,0.47
codellama/CodeLlama-34b-Instruct-hf,./mutations/humanEval_SF_with_tests.jsonl,164,152,82,70,0.927,0.5,0.427
codellama/CodeLlama-34b-Instruct-hf,./mutations/humanEval_lv_with_tests.jsonl,164,147,74,73,0.896,0.451,0.445
codellama/CodeLlama-34b-Instruct-hf,./mutations/mbpp_LV_with_tests.jsonl,974,676,338,338,0.694,0.347,0.347
codellama/CodeLlama-34b-Instruct-hf,./mutations/mbpp_SF_with_tests.jsonl,974,702,354,348,0.721,0.363,0.357
codellama/CodeLlama-34b-Instruct-hf,./mutations/mbpp_US_with_tests.jsonl,974,638,289,349,0.655,0.297,0.358
deepseek-ai/deepseek-coder-33b-instruct,./datasets/humanEval/HumanEval.jsonl,164,160,118,42,0.976,0.72,0.256
deepseek-ai/deepseek-coder-33b-instruct,./datasets/mbpp/mbpp.jsonl,974,771,458,313,0.792,0.47,0.321
deepseek-ai/deepseek-coder-33b-instruct,./mutations/HumanEval_US_with_tests.jsonl,164,159,101,58,0.97,0.616,0.354
deepseek-ai/deepseek-coder-33b-instruct,./mutations/humanEval_SF_with_tests.jsonl,164,160,121,39,0.976,0.738,0.238
deepseek-ai/deepseek-coder-33b-instruct,./mutations/humanEval_lv_with_tests.jsonl,164,159,112,47,0.97,0.683,0.287
deepseek-ai/deepseek-coder-33b-instruct,./mutations/mbpp_LV_with_tests.jsonl,974,754,442,312,0.774,0.454,0.32
deepseek-ai/deepseek-coder-33b-instruct,./mutations/mbpp_SF_with_tests.jsonl,974,763,452,311,0.783,0.464,0.319
deepseek-ai/deepseek-coder-33b-instruct,./mutations/mbpp_US_with_tests.jsonl,974,704,388,316,0.723,0.398,0.324
