_judge_id,task_id,mutation_type,dataset,recoverability,naturalness,lexical_compliance,semantic_preservation,formatting_compliance,underspec_compliance
HumanEval/0__LV,HumanEval/0,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/1__LV,HumanEval/1,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/2__LV,HumanEval/2,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/3__LV,HumanEval/3,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/4__LV,HumanEval/4,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/5__LV,HumanEval/5,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/6__LV,HumanEval/6,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/7__LV,HumanEval/7,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/8__LV,HumanEval/8,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/9__LV,HumanEval/9,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/10__LV,HumanEval/10,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/11__LV,HumanEval/11,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/12__LV,HumanEval/12,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/13__LV,HumanEval/13,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/14__LV,HumanEval/14,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/15__LV,HumanEval/15,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/16__LV,HumanEval/16,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/17__LV,HumanEval/17,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/18__LV,HumanEval/18,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/19__LV,HumanEval/19,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/20__LV,HumanEval/20,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/21__LV,HumanEval/21,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/22__LV,HumanEval/22,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/23__LV,HumanEval/23,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/24__LV,HumanEval/24,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/25__LV,HumanEval/25,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/26__LV,HumanEval/26,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/27__LV,HumanEval/27,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/28__LV,HumanEval/28,LV,humaneval,1.0,1.0,1.0,1.0,,
