Model,Dataset,Mutation,Samples,Pass@1,Exec%,FP%,File
Qwen_Qwen2.5-Coder-32B-Instruct,HumanEval,LV,164,84.1,97.0,12.8,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__humanEval_lv_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,HumanEval,Orig,164,85.4,98.8,13.4,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__HumanEval.json
Qwen_Qwen2.5-Coder-32B-Instruct,HumanEval,SF,164,86.6,99.4,12.8,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__humanEval_SF_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,HumanEval,US,164,73.2,98.2,25.0,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__HumanEval_US_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,HumanEval,LV,164,75.6,95.1,19.5,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__humanEval_lv_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,HumanEval,Orig,164,82.3,97.6,15.2,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__HumanEval.json
Qwen_Qwen2.5-Coder-7B-Instruct,HumanEval,SF,164,81.7,98.2,16.5,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__humanEval_SF_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,HumanEval,US,164,67.7,97.0,29.3,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__HumanEval_US_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,HumanEval,LV,164,54.3,95.1,40.9,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__humanEval_lv_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,HumanEval,Orig,164,65.9,97.6,31.7,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__HumanEval.json
bigcode_starcoder2-15b-instruct-v0.1,HumanEval,SF,164,62.8,93.9,31.1,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__humanEval_SF_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,HumanEval,US,164,51.2,97.0,45.7,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__HumanEval_US_with_tests.json
claude-sonnet-4-20250514,HumanEval,LV,164,89.0,97.6,8.5,results/claude/claude-sonnet-4-20250514__humanEval_lv_with_tests.json
claude-sonnet-4-20250514,HumanEval,Orig,164,95.7,98.2,2.4,results/claude/claude-sonnet-4-20250514__HumanEval.json
claude-sonnet-4-20250514,HumanEval,SF,164,95.7,97.6,1.8,results/claude/claude-sonnet-4-20250514__humanEval_SF_with_tests.json
claude-sonnet-4-20250514,HumanEval,US,164,86.0,97.6,11.6,results/claude/claude-sonnet-4-20250514__HumanEval_US_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,HumanEval,LV,164,45.1,89.6,44.5,results/large_models/codellama_CodeLlama-34b-Instruct-hf__humanEval_lv_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,HumanEval,Orig,164,51.2,89.6,38.4,results/large_models/codellama_CodeLlama-34b-Instruct-hf__HumanEval.json
codellama_CodeLlama-34b-Instruct-hf,HumanEval,SF,164,50.0,92.7,42.7,results/large_models/codellama_CodeLlama-34b-Instruct-hf__humanEval_SF_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,HumanEval,US,164,42.1,89.0,47.0,results/large_models/codellama_CodeLlama-34b-Instruct-hf__HumanEval_US_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,HumanEval,LV,164,29.3,81.7,52.4,results/small_models/codellama_CodeLlama-7b-Instruct-hf__humanEval_lv_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,HumanEval,Orig,164,37.2,84.8,47.6,results/small_models/codellama_CodeLlama-7b-Instruct-hf__HumanEval.json
codellama_CodeLlama-7b-Instruct-hf,HumanEval,SF,164,37.2,87.8,50.6,results/small_models/codellama_CodeLlama-7b-Instruct-hf__humanEval_SF_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,HumanEval,US,164,29.3,90.9,61.6,results/small_models/codellama_CodeLlama-7b-Instruct-hf__HumanEval_US_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,HumanEval,LV,164,68.3,97.0,28.7,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__humanEval_lv_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,HumanEval,Orig,164,72.0,97.6,25.6,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__HumanEval.json
deepseek-ai_deepseek-coder-33b-instruct,HumanEval,SF,164,73.8,97.6,23.8,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__humanEval_SF_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,HumanEval,US,164,61.6,97.0,35.4,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__HumanEval_US_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,HumanEval,LV,164,60.4,95.7,35.4,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__humanEval_lv_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,HumanEval,Orig,164,72.6,97.0,24.4,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__HumanEval.json
deepseek-ai_deepseek-coder-6.7b-instruct,HumanEval,SF,164,68.9,93.9,25.0,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__humanEval_SF_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,HumanEval,US,164,57.3,93.9,36.6,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__HumanEval_US_with_tests.json
gpt-5-mini,HumanEval,LV,164,89.0,91.5,2.4,results/api/gpt-5-mini__humanEval_lv_with_tests.json
gpt-5-mini,HumanEval,Orig,164,96.3,97.6,1.2,results/api/gpt-5-mini__HumanEval.json
gpt-5-mini,HumanEval,SF,164,93.3,96.3,3.0,results/api/gpt-5-mini__humanEval_SF_with_tests.json
gpt-5-mini,HumanEval,US,164,86.6,95.7,9.1,results/api/gpt-5-mini__HumanEval_US_with_tests.json
mistralai_Codestral-22B-v0.1,HumanEval,LV,164,65.2,96.3,31.1,results/large_models/mistralai_Codestral-22B-v0.1__humanEval_lv_with_tests.json
mistralai_Codestral-22B-v0.1,HumanEval,Orig,164,72.6,97.0,24.4,results/large_models/mistralai_Codestral-22B-v0.1__HumanEval.json
mistralai_Codestral-22B-v0.1,HumanEval,SF,164,70.7,96.3,25.6,results/large_models/mistralai_Codestral-22B-v0.1__humanEval_SF_with_tests.json
mistralai_Codestral-22B-v0.1,HumanEval,US,164,58.5,97.6,39.0,results/large_models/mistralai_Codestral-22B-v0.1__HumanEval_US_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,LCB,LV,1000,31.7,31.8,0.1,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__livecodebench_LV_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,LCB,Orig,1000,32.0,32.1,0.1,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__livecodebench_public.json
Qwen_Qwen2.5-Coder-32B-Instruct,LCB,SF,1000,31.2,31.3,0.1,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__livecodebench_SF_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,LCB,US,1000,30.6,30.7,0.1,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__livecodebench_US_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,LCB,LV,1000,22.2,22.3,0.1,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__livecodebench_LV_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,LCB,Orig,1000,20.5,20.6,0.1,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__livecodebench_public.json
Qwen_Qwen2.5-Coder-7B-Instruct,LCB,SF,1000,20.5,20.6,0.1,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__livecodebench_SF_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,LCB,US,1000,20.3,20.4,0.1,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__livecodebench_US_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,LCB,LV,1000,7.3,7.4,0.1,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__livecodebench_LV_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,LCB,Orig,1000,6.8,6.9,0.1,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__livecodebench_public.json
bigcode_starcoder2-15b-instruct-v0.1,LCB,SF,1000,7.6,7.7,0.1,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__livecodebench_SF_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,LCB,US,1000,8.0,8.1,0.1,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__livecodebench_US_with_tests.json
claude-sonnet-4-20250514,LCB,LV,1000,49.9,50.0,0.1,results/claude/claude-sonnet-4-20250514__livecodebench_LV_with_tests.json
claude-sonnet-4-20250514,LCB,Orig,1000,51.1,51.2,0.1,results/claude/claude-sonnet-4-20250514__livecodebench_public.json
claude-sonnet-4-20250514,LCB,SF,1000,50.7,50.8,0.1,results/claude/claude-sonnet-4-20250514__livecodebench_SF_with_tests.json
claude-sonnet-4-20250514,LCB,US,1000,49.6,49.7,0.1,results/claude/claude-sonnet-4-20250514__livecodebench_US_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,LCB,LV,1000,13.1,13.2,0.1,results/large_models/codellama_CodeLlama-34b-Instruct-hf__livecodebench_LV_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,LCB,Orig,1000,13.6,13.7,0.1,results/large_models/codellama_CodeLlama-34b-Instruct-hf__livecodebench_public.json
codellama_CodeLlama-34b-Instruct-hf,LCB,SF,1000,12.4,12.5,0.1,results/large_models/codellama_CodeLlama-34b-Instruct-hf__livecodebench_SF_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,LCB,US,1000,11.6,11.7,0.1,results/large_models/codellama_CodeLlama-34b-Instruct-hf__livecodebench_US_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,LCB,LV,1000,19.9,20.0,0.1,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__livecodebench_LV_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,LCB,Orig,1000,20.3,20.4,0.1,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__livecodebench_public.json
deepseek-ai_deepseek-coder-33b-instruct,LCB,SF,1000,18.8,18.9,0.1,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__livecodebench_SF_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,LCB,US,1000,19.4,19.5,0.1,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__livecodebench_US_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,LCB,LV,1000,8.2,8.3,0.1,results/small_models/codellama_CodeLlama-7b-Instruct-hf__livecodebench_LV_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,LCB,Orig,1000,8.1,8.2,0.1,results/small_models/codellama_CodeLlama-7b-Instruct-hf__livecodebench_public.json
codellama_CodeLlama-7b-Instruct-hf,LCB,SF,1000,7.8,7.9,0.1,results/small_models/codellama_CodeLlama-7b-Instruct-hf__livecodebench_SF_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,LCB,US,1000,8.4,8.5,0.1,results/small_models/codellama_CodeLlama-7b-Instruct-hf__livecodebench_US_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,LCB,LV,1000,14.8,14.9,0.1,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__livecodebench_LV_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,LCB,Orig,1000,16.3,16.4,0.1,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__livecodebench_public.json
deepseek-ai_deepseek-coder-6.7b-instruct,LCB,SF,1000,15.2,15.3,0.1,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__livecodebench_SF_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,LCB,US,1000,16.0,16.1,0.1,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__livecodebench_US_with_tests.json
gpt-5-mini,LCB,LV,1000,52.5,52.6,0.1,results/api/gpt-5-mini__livecodebench_LV_with_tests.json
gpt-5-mini,LCB,Orig,1000,52.5,52.6,0.1,results/api/gpt-5-mini__livecodebench_public.json
gpt-5-mini,LCB,SF,1000,53.2,53.3,0.1,results/api/gpt-5-mini__livecodebench_SF_with_tests.json
gpt-5-mini,LCB,US,1000,48.5,48.6,0.1,results/api/gpt-5-mini__livecodebench_US_with_tests.json
mistralai_Codestral-22B-v0.1,LCB,LV,1000,22.7,22.8,0.1,results/large_models/mistralai_Codestral-22B-v0.1__livecodebench_LV_with_tests.json
mistralai_Codestral-22B-v0.1,LCB,Orig,1000,23.0,23.1,0.1,results/large_models/mistralai_Codestral-22B-v0.1__livecodebench_public.json
mistralai_Codestral-22B-v0.1,LCB,SF,1000,22.6,22.7,0.1,results/large_models/mistralai_Codestral-22B-v0.1__livecodebench_SF_with_tests.json
mistralai_Codestral-22B-v0.1,LCB,US,1000,22.5,22.6,0.1,results/large_models/mistralai_Codestral-22B-v0.1__livecodebench_US_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,MBPP,LV,974,48.6,77.3,28.7,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__mbpp_LV_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,MBPP,Orig,974,51.6,79.6,27.9,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__mbpp.json
Qwen_Qwen2.5-Coder-32B-Instruct,MBPP,SF,974,51.4,79.9,28.4,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__mbpp_SF_with_tests.json
Qwen_Qwen2.5-Coder-32B-Instruct,MBPP,US,974,40.8,73.9,33.2,results/large_models/Qwen_Qwen2.5-Coder-32B-Instruct__mbpp_US_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,MBPP,LV,974,48.6,77.1,28.5,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__mbpp_LV_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,MBPP,Orig,974,50.1,79.5,29.4,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__mbpp.json
Qwen_Qwen2.5-Coder-7B-Instruct,MBPP,SF,974,49.0,79.1,30.1,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__mbpp_SF_with_tests.json
Qwen_Qwen2.5-Coder-7B-Instruct,MBPP,US,974,41.2,74.0,32.9,results/small_models/Qwen_Qwen2.5-Coder-7B-Instruct__mbpp_US_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,MBPP,LV,974,39.7,75.1,35.3,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__mbpp_LV_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,MBPP,Orig,974,42.1,76.9,34.8,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__mbpp.json
bigcode_starcoder2-15b-instruct-v0.1,MBPP,SF,974,42.1,77.6,35.5,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__mbpp_SF_with_tests.json
bigcode_starcoder2-15b-instruct-v0.1,MBPP,US,974,35.3,71.3,35.9,results/large_models/bigcode_starcoder2-15b-instruct-v0.1__mbpp_US_with_tests.json
claude-sonnet-4-20250514,MBPP,LV,974,50.3,79.2,28.9,results/claude/claude-sonnet-4-20250514__mbpp_LV_with_tests.json
claude-sonnet-4-20250514,MBPP,Orig,974,53.0,81.0,28.0,results/claude/claude-sonnet-4-20250514__mbpp.json
claude-sonnet-4-20250514,MBPP,SF,974,53.5,81.1,27.6,results/claude/claude-sonnet-4-20250514__mbpp_SF_with_tests.json
claude-sonnet-4-20250514,MBPP,US,974,44.1,77.3,33.2,results/claude/claude-sonnet-4-20250514__mbpp_US_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,MBPP,LV,974,34.7,69.4,34.7,results/large_models/codellama_CodeLlama-34b-Instruct-hf__mbpp_LV_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,MBPP,Orig,974,37.9,72.9,35.0,results/large_models/codellama_CodeLlama-34b-Instruct-hf__mbpp.json
codellama_CodeLlama-34b-Instruct-hf,MBPP,SF,974,36.3,72.1,35.7,results/large_models/codellama_CodeLlama-34b-Instruct-hf__mbpp_SF_with_tests.json
codellama_CodeLlama-34b-Instruct-hf,MBPP,US,974,29.7,65.5,35.8,results/large_models/codellama_CodeLlama-34b-Instruct-hf__mbpp_US_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,MBPP,LV,974,31.2,69.6,38.4,results/small_models/codellama_CodeLlama-7b-Instruct-hf__mbpp_LV_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,MBPP,Orig,974,33.3,72.2,38.9,results/small_models/codellama_CodeLlama-7b-Instruct-hf__mbpp.json
codellama_CodeLlama-7b-Instruct-hf,MBPP,SF,974,33.7,72.2,38.5,results/small_models/codellama_CodeLlama-7b-Instruct-hf__mbpp_SF_with_tests.json
codellama_CodeLlama-7b-Instruct-hf,MBPP,US,974,26.8,66.3,39.5,results/small_models/codellama_CodeLlama-7b-Instruct-hf__mbpp_US_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,MBPP,LV,974,45.4,77.4,32.0,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__mbpp_LV_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,MBPP,Orig,974,47.0,79.2,32.1,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__mbpp.json
